MAL_ID,Name,Type
319,Happy World!,OVA
320,A Kite,OVA
321,Najica Dengeki Sakusen,TV
323,Mousou Dairinin,TV
324,Kidou Keisatsu Patlabor: On Television,TV
326,Petshop of Horrors,TV
327,Puchi Pri*Yucie,TV
328,Piano (TV),TV
331,Mahoujin Guruguru,TV
332,Dokidoki♡Densetsu: Mahoujin Guruguru,TV
334,Marmalade Boy,TV
335,Matantei Loki Ragnarok,TV
339,Serial Experiments Lain,TV
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,TV
341,Spiral: Suiri no Kizuna,TV
343,Tsukuyomi: Moon Phase,TV
344,Futatsu no Spica,TV
345,Eikoku Koi Monogatari Emma,TV
348,Binzume Yousei,TV
349,Magical Canan,TV
350,Ojamajo Doremi,TV
354,UG☆Ultimate Girls,TV
355,Shakugan no Shana,TV
356,Fate/stay night,TV
357,Bokusatsu Tenshi Dokuro-chan,OVA
358,"Iriya no Sora, UFO no Natsu",OVA
359,I'll/CKBC,OVA
360,Himiko-den,TV
361,Memories Off,OVA
362,Memories Off 2nd,OVA
363,Memories Off 3.5,OVA
364,Gallery Fake,TV
366,AIKa,OVA
368,Bible Black,OVA
369,Boogiepop wa Warawanai,TV
370,Burn Up Excess,TV
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,Movie
373,Bannou Bunka Neko-Musume,OVA
374,Bannou Bunka Neko-Musume DASH!,OVA
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",Special
377,eX-Driver,OVA
378,eX-Driver the Movie,Movie
380,Fushigi Yuugi OVA,OVA
381,Fushigi Yuugi: Dai Ni Bu,OVA
382,Futari Ecchi,OVA
383,Galaxy Angel,TV
384,Gantz,TV
386,H2,TV
387,Haibane Renmei,TV
388,Capeta,TV
389,Karas,OVA
390,Suzuka,TV
392,Yuu☆Yuu☆Hakusho,TV
393,Escaflowne,Movie
394,Ai Yori Aoshi: Enishi,TV
395,Gantz 2nd Stage,TV
396,Seikai no Senki,TV
397,Seikai no Senki II,TV
398,Seikai no Senki III,OVA
400,Seihou Bukyou Outlaw Star,TV
402,Otogi Juushi Akazukin OVA,OVA
403,Hanaukyou Maid-tai,TV
404,Bastard!!: Ankoku no Hakaishin,OVA
405,Blood: The Last Vampire,Movie
406,Buzzer Beater,TV
407,Tantei Gakuen Q,TV
411,Gun x Sword,TV
412,Kore ga Watashi no Goshujinsama,TV
413,Hametsu no Mars,OVA
415,Tonari no Yamada-kun,Movie
416,Kurenai no Buta,Movie
417,Ragnarök The Animation,TV
419,Samurai Deeper Kyou,TV
420,Spriggan,Movie
421,Stratos 4,TV
423,Stratos 4 Advance,OVA
424,Dirty Pair,TV
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,OVA
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,OVA
430,Fullmetal Alchemist: The Conqueror of Shamballa,Movie
431,Howl no Ugoku Shiro,Movie
432,Iria: Zeiram The Animation,OVA
433,"Kumo no Mukou, Yakusoku no Basho",Movie
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,OVA
435,Magic Knight Rayearth,TV
437,Perfect Blue,Movie
438,Phantom The Animation,OVA
439,RG Veda,OVA
440,Shoujo Kakumei Utena,TV
444,Maria-sama ga Miteru: Haru,TV
445,Tales of Eternia The Animation,TV
449,InuYasha Movie 4: Guren no Houraijima,Movie
450,InuYasha Movie 2: Kagami no Naka no Mugenjo,Movie
452,InuYasha Movie 1: Toki wo Koeru Omoi,Movie
454,.hack//Gift,OVA
456,Gokujou Seitokai,TV
457,Mushishi,TV
458,Buttobi!! CPU,OVA
459,One Piece Movie 1,Movie
460,One Piece Movie 2: Nejimaki-jima no Daibouken,Movie
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,Movie
462,One Piece Movie 4: Dead End no Bouken,Movie
463,One Piece Movie 5: Norowareta Seiken,Movie
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,Movie
466,One Piece: Taose! Kaizoku Ganzack,OVA
468,Innocence,Movie
469,Karin,TV
470,Okusama wa Joshikousei (TV),TV
472,To Heart,TV
473,Tide-Line Blue,TV
475,Hotori: Tada Saiwai wo Koinegau,Movie
476,Ginban Kaleidoscope,TV
477,Aria the Animation,TV
478,Sousei no Aquarion,TV
479,Ueki no Housoku,TV
481,Yu☆Gi☆Oh! Duel Monsters,TV
482,Yu☆Gi☆Oh!: Duel Monsters GX,TV
484,Gensoumaden Saiyuuki Movie: Requiem - Erabarezaru Mono e no Chinkonka,Movie
485,Damekko Doubutsu,TV
486,Kino no Tabi: The Beautiful World,TV
487,Girls Bravo: Second Season,TV
488,Ichigo Mashimaro,TV
490,Paniponi Dash!,TV
492,Armitage III: Dual-Matrix,Movie
493,Armitage III: Poly-Matrix,Movie
495,Bakuretsu Hunters,TV
496,Kamui no Ken,Movie
497,Yami to Boushi to Hon no Tabibito,TV
498,Haja Taisei Dangaiou,OVA
499,Makai Toshi Shinjuku,OVA
503,Eien no Aselia,OVA
504,Fatal Fury: The Motion Picture,Movie
505,Fushigiboshi no☆Futagohime,TV
507,Gravitation: Lyrics of Love,OVA
508,Tottoko Hamtarou,TV
511,Kidou Shinsengumi Moeyo Ken TV,TV
512,Majo no Takkyuubin,Movie
513,Tenkuu no Shiro Laputa,Movie
514,Cossette no Shouzou,OVA
515,Hajimari no Boukensha-tachi: Legend of Crystania,Movie
516,Keroro Gunsou,TV
518,Mahou no Princess Minky Momo,TV
521,Mermaid Melody Pichi Pichi Pitch,TV
522,Metropolis,Movie
523,Tonari no Totoro,Movie
524,Onegai☆Twins: Natsu wa Owaranai,OVA
525,Otogizoushi,TV
526,Boku no Chikyuu wo Mamotte,OVA
527,Pokemon,TV
529,Saishuu Heiki Kanojo,TV
530,Bishoujo Senshi Sailor Moon,TV
531,Bishoujo Senshi Sailor Moon R: The Movie,Movie
533,Sensei no Ojikan: Doki Doki School Hours,TV
534,Slayers,TV
535,Slayers Next,TV
537,Tekken,OVA
538,Shin Tenchi Muyou!,TV
539,Tenchi Muyou! Ryououki,OVA
540,Tenchi Muyou! Ryououki 2nd Season,OVA
541,Tenchi Muyou! Ryououki 3rd Season,OVA
543,Vampire Hunter D (2000),Movie
544,Venus Senki,Movie
545,Mousou Kagaku Series: Wandaba Style,TV
546,Wind: A Breath of Heart (TV),TV
547,Wind: A Breath of Heart OVA,OVA
548,Wonderful Days,Movie
550,Yu☆Gi☆Oh!,TV
552,Digimon Adventure,TV
553,Yami no Matsuei,TV
554,Koutetsu Tenshi Kurumi,TV
555,Koutetsu Tenshi Kurumi 2,TV
556,Koutetsu Tenshi Kurumi Zero,OVA
558,Major S2,TV
560,Soukyuu no Fafner: Right of Left - Single Program,Special
561,Sakura Taisen,TV
562,Sakura Taisen: Le Nouveau Paris,OVA
563,DNA²,TV
564,Puni Puni☆Poemii,OVA
565,Steamboy,Movie
566,Tetsuwan Birdy,OVA
567,The Big O,TV
568,Bubblegum Crisis Tokyo 2040,TV
569,Musekinin Kanchou Tylor,TV
570,Jin-Rou,Movie
571,Moldiver,OVA
572,Kaze no Tani no Nausicaä,Movie
573,Saber Marionette J,TV
576,Magikano,TV
577,Kagi Hime Monogatari: Eikyuu Alice Rondo,TV
578,Hotaru no Haka,Movie
579,Battle Programmer Shirase,TV
580,Kogepan,TV
581,Honoo no Labyrinth,OVA
585,Mimi wo Sumaseba,Movie
587,Hanbun no Tsuki ga Noboru Sora,TV
588,Itsudatte My Santa!,OVA
589,Ginga Nagareboshi Gin,TV
590,Kage kara Mamoru!,TV
591,Amaenaide yo!!,TV
593,Mugen no Ryvius,TV
594,Naruto: Takigakure no Shitou - Ore ga Eiyuu Dattebayo!,Special
596,Chobits: Chibits,Special
598,Jinzou Ningen Kikaider The Animation,TV
600,Legend of Duo,TV
601,Nekojiru-sou,OVA
602,KO Seiki Beast Sanjuushi,OVA
603,Futari wa Precure,TV
605,Tenshi ni Narumon!,TV
607,Otogi Juushi Akazukin,TV
608,Sakura Taisen: Katsudou Shashin,Movie
609,Saishuu Heiki Kanojo: Another Love Song,OVA
610,Popotan,TV
611,Platonic Chain,TV
613,Onmyou Taisenki,TV
614,Okusama wa Mahou Shoujo,TV
616,Nurse Angel Ririka SOS,TV
617,Juubee Ninpuuchou,Movie
618,Juubee Ninpuuchou: Ryuuhougyoku-hen,TV
619,Ninja Ryuukenden,OVA
620,Takahashi Rumiko Gekijou Ningyo no Mori,TV
621,Night Walker: Mayonaka no Tantei,TV
622,Natsu-iro no Sunadokei,OVA
623,Shichinin no Nana,TV
625,Moekan The Animation,OVA
626,Mamotte Shugogetten!,TV
627,Major S1,TV
629,Mahoutsukai Tai!,OVA
630,Mahoutsukai Tai! (TV),TV
631,Mahoromatic Summer Special,Special
633,Legend of Basara,TV
634,Koi Kaze,TV
635,Juubee-chan: Lovely Gantai no Himitsu,TV
637,Iketeru Futari,TV
645,Hikaru no Go: Hokuto Hai e no Michi,Special
646,Haunted Junction,TV
647,Harukanaru Toki no Naka de: Ajisai Yumegatari,OVA
648,Tsuki wa Higashi ni Hi wa Nishi ni: Operation Sanctuary,TV
649,Hanaukyou Maid-tai: La Verite,TV
650,Gunsmith Cats,OVA
652,Galaxy Angel Z,TV
653,Galaxy Angel 3,TV
655,Galaxy Angel 4,TV
658,Touhai Densetsu Akagi: Yami ni Maiorita Tensai,TV
660,Denshin Mamotte Shugogetten,OVA
661,Elf-ban Kakyuusei: Anata dake wo Mitsumete...,OVA
667,Kashimashi: Girl Meets Girl,TV
668,Koi Koi 7,TV
669,Kujibiki Unbalance,OVA
670,Lamune,TV
671,Lemon Angel Project,TV
676,Refrain Blue,OVA
678,Shadow Skill: Eigi,TV
679,Shadow Skill (1996),OVA
681,Tenbatsu Angel Rabbie☆,OVA
682,Otogi Story Tenshi no Shippo,TV
685,To Heart: Remember My Memories,TV
686,To Heart: Remember My Memories Specials,Special
687,Tokyo Mew Mew,TV
688,Uta∽Kata,TV
689,Uta∽Kata: Shotou no Futanatsu,Special
690,Kyuuketsuhime Miyu (TV),TV
691,Yawara!,TV
692,Dousou Kai,OVA
694,Canvas 2: Niji-iro no Sketch,TV
695,Canvas: Sepia-iro no Motif,OVA
696,Tenchi Muyou!,TV
706,Comic Party Revolution,TV
708,Patapata Hikousen no Bouken,TV
709,Mujin Wakusei Survive,TV
711,Uchuu Senkan Yamato (Movie),Movie
712,Zoids Genesis,TV
713,Air Movie,Movie
715,Yume de Aetara,OVA
718,Yume de Aetara (TV),TV
721,Princess Tutu,TV
722,Baby☆Love,OVA
723,Candy Candy (Movie),Movie
724,Enzai,OVA
725,First Kiss Monogatari,OVA
727,Kingyo Chuuihou!,TV
729,Hiatari Ryoukou!,TV
732,Vampire Hunter D,Movie
733,Kizuna,OVA
734,Kizuna: Koi no kara Sawagi,OVA
736,Keiraku no Houteishiki Level-C,OVA
738,MÄR,TV
740,Bishoujo Senshi Sailor Moon R,TV
743,Umi ga Kikoeru,Special
744,Trouble Chocolate,TV
746,Papa to Kiss in the Dark,OVA
749,Nanami-chan,TV
751,Bomberman Jetters,TV
753,Chijoku Shinsatsushitsu,OVA
755,Boku no Sexual Harassment,OVA
758,RahXephon: Tagen Hensoukyoku,Movie
759,Tokyo Godfathers,Movie
761,Naruto: Akaki Yotsuba no Clover wo Sagase,Special
764,Zoids Shinseiki/Zero,TV
766,Kishin Houkou Demonbane,OVA
767,Burn Up!,OVA
770,Pale Cocoon,OVA
771,Ginyuu Mokushiroku Meine Liebe Wieder,TV
773,Tenamonya Voyagers,OVA
776,Nanaka 6/17,TV
777,Hellsing Ultimate,OVA
781,Detective Conan Movie 03: The Last Wizard of the Century,Movie
782,Gasaraki,TV
783,Miami Guns,TV
786,Pugyuru,TV
788,Eiken: Eikenbu yori Ai wo Komete,OVA
789,Shinigami no Ballad.,TV
790,Ergo Proxy,TV
791,Arion,Movie
795,Oniisama e...,TV
796,Mahoujin Guru Guru Movie,Movie
798,Yomigaeru Sora: Rescue Wings,TV
799,Kokoro Toshokan,TV
800,NieA Under 7,TV
801,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV
807,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,Movie
808,Bakuretsu Hunters OVA,OVA
811,I''s Pure,OVA
812,Chikyuu Shoujo Arjuna,TV
813,Dragon Ball Z,TV
814,Tennis no Ouji-sama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,Movie
815,Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game,Movie
816,Nanako Kaitai Shinsho,OVA
817,Tactical Roar,TV
818,Sakura Tsuushin,OVA
819,Boku wa Imouto ni Koi wo Suru,OVA
820,Ginga Eiyuu Densetsu,OVA
822,Initial D Extra Stage,OVA
823,Virgin Night,OVA
824,Guardian Hearts,OVA
827,Uba,OVA
828,Jinshin Yuugi,OVA
830,Sexfriend,OVA
832,Ginsoukikou Ordian,TV
833,Choujuushin Gravion,TV
835,Sister Princess: Re Pure,TV
836,Sister Princess,TV
837,Kyou no 5 no 2,OVA
838,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,TV
840,Narue no Sekai,TV
841,Colorful,TV
842,Ushio to Tora,OVA
845,Kiba,TV
848,Jinki:Extend - Sorekara,OVA
850,Gakuen Heaven,TV
851,Kyou kara Ore wa!!,OVA
852,Gokinjo Monogatari,TV
853,Ouran Koukou Host Club,TV
854,Soul Link,TV
855,Strawberry Panic,TV
856,Utawarerumono,TV
857,Air Gear,TV
858,Gunparade Orchestra,TV
859,Digimon Savers,TV
861,xxxHOLiC,TV
863,Joshikousei: Girl's High,TV
864,Mobile Suit Gundam SEED MSV Astray,OVA
865,Kikou Senki Dragonar,TV
866,Slayers Premium,Movie
867,Slayers Gorgeous,Movie
868,Slayers Great,Movie
869,Slayers Return,Movie
870,Dragon Half,OVA
872,Mahou Shoujo-tai Arusu,TV
874,Digimon Tamers,TV
876,Street Fighter II V,TV
877,Nana,TV
878,Zegapain,TV
879,Simoun,TV
880,Aa! Megami-sama!: Sorezore no Tsubasa,TV
881,Green Green OVA,OVA
883,Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,Movie
884,Shin Angyo Onshi,Movie
885,Tenshi no Tamago,OVA
888,Megami Kouhosei,TV
889,Black Lagoon,TV
890,Yuusha-Ou GaoGaiGar,TV
891,Dragon Ball Movie 2: Majinjou no Nemurihime,Movie
892,Dragon Ball Movie 3: Makafushigi Daibouken,Movie
894,Dragon Ball Z Movie 01: Ora no Gohan wo Kaese!!,Movie
895,Dragon Ball Z Movie 02: Kono Yo de Ichiban Tsuyoi Yatsu,Movie
896,Dragon Ball Z Movie 03: Chikyuu Marugoto Choukessen,Movie
898,Dragon Ball Z Movie 05: Tobikkiri no Saikyou tai Saikyou,Movie
900,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,Movie
901,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",Movie
902,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,Movie
903,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,Movie
904,Dragon Ball Z Movie 11: Super Senshi Gekiha!! Katsu no wa Ore da,Movie
905,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,Movie
906,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Gokuu ga Yaraneba Dare ga Yaru,Movie
909,Geneshaft,TV
910,Himawari!,TV
911,Konjiki no Gash Bell!!: Mecha Vulkan no Raishuu,Movie
912,Ninkuu,TV
913,Kakutou Bijin Wulong,TV
914,Ike! Ina-chuu Takkyuubu,TV
915,Ginga Densetsu Weed,TV
917,Riding Bean,OVA
918,Gintama,TV
919,Ray The Animation,TV
924,Transformers: Choujin Master Force,TV
925,Transformers: The☆Headmasters,TV
926,Tatakae! Chou Robot Seimeitai Transformers Victory,TV
927,Transformers Superlink,TV
928,Transformers Galaxy Force,TV
929,Seisenshi Dunbine,TV
930,Densetsu Kyojin Ideon,TV
933,Dai Mahou Touge,OVA
934,Higurashi no Naku Koro ni,TV
935,Witchblade,TV
936,Naruto Movie 2: Dai Gekitotsu! Maboroshi no Chiteiiseki Dattebayo!,Movie
937,Appleseed,OVA
938,Shin Getter Robo tai Neo Getter Robo,OVA
940,Inukami!,TV
941,Renkin San-kyuu Magical? Pokaan,TV
942,Nishi no Yoki Majo: Astraea Testament,TV
943,Yume Tsukai,TV
949,Top wo Nerae! Gunbuster,OVA
950,Street Fighter Alpha: Generations,Movie
952,Magical Nyan Nyan Taruto,TV
953,Jyu Oh Sei,TV
956,Daikuu Maryuu Gaiking,TV
957,Saiunkoku Monogatari,TV
959,Shin Chou Kyou Ryo: Condor Hero,TV
961,Virtua Fighter,TV
962,Aria the Natural,TV
963,"Love Hina: Motoko no Sentaku, Koi ka Ken... ""Naku na""",Special
966,Crayon Shin-chan,TV
967,Hokuto no Ken,TV
968,Kakutou Bijin Wulong: Rebirth,TV
970,Yokoyama Mitsuteru Sangokushi,TV
971,Astro Boy: Tetsuwan Atom,TV
972,Bible Black Gaiden,OVA
973,Glass no Kantai: La Legende du Vent de l'Univers,TV
976,Yokohama Kaidashi Kikou: Quiet Country Cafe,OVA
977,Ginga Teikoku no Metsubou Gaiden: Aoki Ookami-tachi no Densetsu,OVA
978,Change!! Getter Robo: Sekai Saigo no Hi,OVA
979,Street Fighter Zero The Animation,Movie
980,Rikujou Bouei-tai Mao-chan,TV
982,Cosplay Complex,OVA
984,Dragon Ball Z: Saiya-jin Zetsumetsu Keikaku,OVA
985,Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,Special
986,Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,Special
987,Dragon Ball GT: Gokuu Gaiden! Yuuki no Akashi wa Suushinchuu,Special
988,Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,TV
989,Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi,Special
990,Kamisama Kazoku,TV
991,Usagi-chan de Cue!!,OVA
992,Dual! Parallel Lun-Lun Monogatari,TV
993,Dual! Parallel Runrun Monogatari Special;,Special
994,Sin in the Rain,OVA
995,Tennis no Ouji-sama: Zenkoku Taikai-hen,OVA
997,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,Movie
998,Blue Seed,TV
999,Blue Seed 2,OVA
1000,Uchuu Kaizoku Captain Herlock,TV
1002,Top wo Nerae 2! Diebuster,OVA
1004,Kanojo to Kanojo no Neko,OVA
1005,Star Ocean EX,TV
1007,Ranma ½ OVA,OVA
1008,Ranma ½: Yomigaeru Kioku,OVA
1009,Battle Spirits: Ryuuko no Ken,OVA
1010,Ranma ½: Chou Musabetsu Kessen! Ranma Team vs. Densetsu no Houou,Movie
1013,Le Chevalier D'Eon,TV
1014,Chicchana Yukitsukai Sugar Specials,Special
1015,Full Metal Panic! The Second Raid: Wari to Hima na Sentaichou no Ichinichi,Special
1017,Majutsushi Orphen,TV
1019,Honoo no Mirage,TV
1020,Honoo no Mirage: Minagiwa no Hangyakusha,OVA
1021,Kaikan Phrase,TV
1022,Generator Gawl,TV
1023,Wolf's Rain OVA,OVA
1024,Weiß Kreuz OVA,OVA
1025,Kachou Ouji,TV
1026,Yakumotatsu,OVA
1027,Psychic Force,OVA
1028,Arete Hime,Movie
